Method,Adjacency,Orientation,Size,Simplicity,Rectangularity,Regularity,PA Ratio,Weighted_Fitness
Size adjacency,0.4,0.0,0.8111111111111112,0.8333333333333333,0.9199404761904761,0.5473777636054421,0.8308545038877206,3.999999975068494e-09
Size adjacency,0.4,0.25,0.8245614035087719,0.8229166666666666,0.9619791666666666,0.5829557291666667,0.8325794949414191,0.39166666666666666
Size adjacency,0.4,0.25,0.9083333333333333,0.8958333333333333,0.9340277777777778,0.5498263888888888,0.8470793919145567,0.39600363306085373
Size adjacency,0.6,0.0,0.8051169590643275,0.7916666666666666,0.9100198412698413,0.5371415973796927,0.8386877204585538,3.999999981698445e-09
Size adjacency,0.2,0.25,0.7904040404040403,0.7374999999999999,0.9067708333333333,0.5494878472222222,0.8447765495086923,0.26203432398493093
Size adjacency,0.6,0.25,0.8618972746331237,0.8208333333333333,0.9001116071428572,0.5989089516014738,0.827419999115062,0.4709448010882276
Size adjacency,0.4,0.25,0.7916666666666666,0.8958333333333333,0.9375,0.5688657407407407,0.848280243469937,0.38974358974358975
Size adjacency,0.4,0.25,0.7805555555555556,0.6958333333333333,0.8564236111111111,0.5727430555555555,0.8031328735197782,0.3890619591554171
Size adjacency,0.6,0.0,0.8583333333333334,0.7395833333333333,0.8814957264957265,0.5567792570677186,0.7740509259259258,3.999999982006473e-09
Size adjacency,0.6,0.0,0.8444444444444444,0.7232142857142857,0.8653993055555556,0.7189149305555556,0.8455272108843537,3.9999999819298245e-09
Size adjacency,0.6,0.5,0.8191983325316657,0.7583333333333333,0.878968253968254,0.6279584750566893,0.8254307921515713,0.6103106854797768
Size adjacency,0.6,0.5,0.8222222222222223,0.7166666666666666,0.8463541666666667,0.4561631944444444,0.7486111111111111,0.6107290233837689
Size adjacency,0.4,0.75,0.662950937950938,0.7166666666666666,1.149702380952381,0.6766493055555556,0.760050495994552,0.5100908348618972
Size adjacency,0.6,0.5,0.8333333333333334,0.6625,0.8325892857142858,0.5828089569160998,0.787412717152977,0.6122448979591837
Size adjacency,0.8,0.5,0.6568713450292397,0.7916666666666666,0.9222916666666666,0.6350520833333333,0.8503401360544217,0.6641905501044034
Size orientationadjacency,0.6,1.0,0.9309797482211275,0.7041666666666666,0.8307291666666667,0.6799045138888888,0.8069657029478459,0.7397173890195594
Size orientationadjacency,0.6,1.0,0.9703243616287094,0.7648809523809523,0.8652701465201466,0.6645792241946088,0.8320210629017447,0.7457237569060773
Size orientationadjacency,0.6,1.0,0.9333333333333335,0.8333333333333333,0.8787202380952381,0.7098400297619047,0.847553562297152,0.7400881057268722
Size orientationadjacency,0.8,1.0,0.9227053140096618,0.7166666666666667,0.8875,0.6961805555555556,0.804585608123255,0.8726442033123929
Size orientationadjacency,0.6,1.0,0.9821428571428571,0.8,0.9040816326530612,0.6519982993197279,0.863487815695608,0.7474518686296716
Size orientationadjacency,0.6,1.0,0.6611111111111111,0.7374999999999999,0.9364583333333334,0.7935416666666667,0.841079081936694,0.6842357450886439
Size orientationadjacency,0.4,1.0,0.8210317460317461,0.8333333333333333,0.9099999999999999,0.576875,0.8467584940312213,0.5541716887638944
Size orientationadjacency,0.8,1.0,0.7944444444444444,0.8208333333333333,0.8451704545454546,0.5418869088613407,0.7758913631262115,0.840558412931668
Size orientationadjacency,0.8,1.0,0.709920634920635,0.8208333333333333,0.9898611111111111,0.6372927689594355,0.8190868399284205,0.8148949496099755
Size orientationadjacency,0.6,1.0,0.8114357864357865,0.6958333333333333,0.9132440476190476,0.6153608630952381,0.7396426899707251,0.7186855145126462
Size adjacency,0.8,1.0,0.820959595959596,0.7583333333333333,0.8927083333333333,0.5700000000000001,0.8338802083333332,0.8478012843498387
Size adjacency,0.2,1.0,0.736111111111111,0.8125,0.9173611111111111,0.6465972222222223,0.8719513314967859,0.3236641221374046
Size adjacency,0.8,0.75,0.8083333333333335,0.7708333333333333,0.8738095238095238,0.6262592120181405,0.8420402749407078,0.7888851236868858
Size adjacency,0.8,0.75,0.8944444444444445,0.7232142857142856,0.8654761904761905,0.6251133786848073,0.7719068682132133,0.8078611749947732
Size adjacency,0.8,1.0,0.8222222222222223,0.75,0.8952628968253968,0.5743402777777777,0.8320799319183011,0.848137535816619
Size orientation,0.2,0.75,0.8527777777777779,0.7375,0.8894345238095238,0.6053337585034013,0.8440811294932173,0.3198471956936968
Size orientation,0.2,0.75,0.9031746031746032,0.7999999999999999,0.890625,0.551171875,0.7833897077349458,0.32152947824449046
Size orientation,0.2,0.75,0.9087606837606838,0.6749999999999999,0.8645833333333333,0.7327777777777778,0.8416201152943578,0.3217054752209377
Size orientation,0.2,1.0,0.6996472663139329,0.75,0.8972718253968254,0.565266439909297,0.8403822912697372,0.32182043117610076
Size orientation,0.6,0.5,0.8166666666666668,0.7166666666666666,0.8305059523809524,0.5018866921768708,0.7509322247417485,0.6099585062240663
Size ,0.2,0.25,0.7722222222222221,0.7708333333333333,0.8071428571428572,0.5753194090136053,0.7648833104471014,0.2615239887111947
Size ,0.6,0.5,0.7803448275862069,0.7607142857142857,0.8886585884353742,0.7187367134353742,0.8404728245464852,0.6047029482497551
Size ,0.6,0.5,0.8055555555555555,0.7583333333333333,0.8923214285714286,0.6352327806122449,0.8384848484848485,0.6083916083916083
Size ,0.2,0.25,0.6567901234567901,0.8333333333333333,0.9433333333333334,0.65,0.8072242745159988,0.2576895131993219
Size ,0.2,0.75,0.75,0.7916666666666666,0.9417782738095238,0.6412760416666666,0.8183558049205811,0.3157894736842105
Size adjacency,0.4,0.25,0.8305555555555556,0.7666666666666666,0.8864583333333333,0.553515625,0.804164898052885,0.39200262209111764
Size adjacency,0.4,0.25,0.891624895572264,0.6958333333333333,0.8415277777777778,0.5666435185185186,0.7539186507936508,0.3951964711790585
Size adjacency,0.4,0.25,0.9690749863163656,0.6875,0.8658234126984127,0.6667168603552531,0.8254607419442584,0.3987275849449653
Size adjacency,0.4,0.25,0.9020114942528735,0.8833333333333333,0.9288194444444444,0.581814236111111,0.8585036970189318,0.39570136459613625
Size adjacency,0.2,0.25,0.8477777777777779,0.7708333333333333,0.8784722222222223,0.576388888888889,0.8094168962350781,0.26351234674494906
Size orientationadjacency,0.2,1.0,0.6944444444444443,0.7625,0.8654761904761905,0.6365277777777778,0.8163541933455354,0.32154340836012857
Size orientationadjacency,0.6,0.75,0.7595679012345679,0.7791666666666667,1.0200396825396827,0.6678358843537415,0.8228873895587842,0.6685380540589487
Size orientationadjacency,0.8,0.5,0.8283272283272284,0.8482142857142857,0.8444230769230769,0.5470946041138349,0.7710515873015873,0.7008626478640426
Size orientationadjacency,0.4,0.75,0.8030303030303031,0.7916666666666666,1.04375,0.6020833333333333,0.7741084252328383,0.5278008298755187
Size orientationadjacency,0.6,0.5,0.7626262626262627,0.725,0.9444444444444444,0.5179841820987654,0.7264699679730025,0.6019933554817275
