Constraint1,Constraint2,Constraint3,Adjacency,Orientation,Size,Simplicity,Rectangularity,Regularity,PA Ratio,Weighted_Fitness
Size,None,None,0.4,0.5,0.7194444444444444,0.6958333333333333,0.869314236111111,0.6295138888888889,0.8138782793209877,0.47676023930050626
Size,None,None,0.4,0.5,0.6782106782106782,0.7708333333333333,0.8915719696969697,0.5816962953397613,0.8303719832407116,0.4720060256088375
Size,None,None,0.4,0.5,0.7617715617715618,0.8125,0.9231150793650793,0.6821145124716552,0.8890088757396449,0.48118972244717667
Size,None,None,0.2,0.5,0.8126543209876543,0.6625,0.9657986111111112,0.6620176091269842,0.7621387243678471,0.30233092203467676
Size,None,None,0.6,0.5,0.775,0.8,1.0562500000000001,0.6829282407407407,0.8240221496233799,0.6038961038961038
Size,adjacency,None,0.8,1.0,0.8512345679012346,0.6875,1.031313775510204,0.6647165532879818,0.7878338691231007,0.8556581090514233
Size,adjacency,None,0.6,0.75,0.764562569213732,0.7523809523809524,0.8797916666666667,0.603015873015873,0.8219343298996978,0.6695004282966722
Size,adjacency,None,0.8,0.75,0.9944444444444445,0.7791666666666666,0.8389880952380953,0.6276775085034014,0.8134835600907029,0.8266307485087551
Size,adjacency,None,0.8,0.75,0.9126016260162602,0.7479166666666666,0.8521825396825397,0.6938271604938271,0.8090702160493828,0.81150689057911
Size,adjacency,None,0.8,0.75,0.9111111111111111,0.7648809523809523,0.8736607142857142,0.5438123582766441,0.8123872812446739,0.8112118713932399
Size,adjacency,None,0.6,0.5,0.6738095238095237,0.7648809523809523,0.8565972222222222,0.6144868827160493,0.8078161437158691,0.5867311679336558
Size,adjacency,None,0.0,0.75,0.8472222222222222,0.675,0.8289905753968254,0.5856439554988663,0.7713350340136054,1.9999999974863393e-09
Size,adjacency,None,0.2,0.75,0.7987654320987655,0.6416666666666666,0.9301215277777778,0.6082899305555556,0.7694280476754679,0.3178319960700835
Size,adjacency,None,0.2,0.5,0.7765151515151515,0.78125,1.3125,0.6837177579365079,0.7428407347022066,0.3010279001468429
Size,adjacency,None,0.0,0.5,0.7027777777777778,0.7583333333333333,0.8885416666666667,0.6321874999999999,0.8173397963470201,1.999999996577075e-09
Size,None,None,1.0,0.0,0.9292682926829269,0.7583333333333333,0.8359848484848484,0.6212442607897153,0.8105021572899311,3.999999987695539e-09
Size,None,None,0.8,0.5,0.9195156695156695,0.7916666666666666,1.0042857142857142,0.7303401360544217,0.8043501168821681,0.7158799473209954
Size,None,None,0.6,0.25,0.8722718253968255,0.711111111111111,0.8951636904761905,0.6275451743197279,0.7532670657544245,0.4717111881077456
Size,None,None,0.8,0.25,0.8830227743271223,0.6749999999999999,0.8477678571428571,0.5991128117913832,0.80750217154209,0.5240764918209048
Size,None,None,0.8,0.5,0.8567901234567902,0.7916666666666666,0.9366071428571429,0.6798256802721088,0.8254220401000145,0.7058225273328248
Size,orientation,None,0.4,1.0,0.7120039682539683,0.71875,0.8476190476190476,0.5159114583333333,0.7766362945641219,0.540213014188401
Size,orientation,None,1.0,1.0,0.9514844804318487,0.6875,1.0060763888888888,0.697048611111111,0.756953656462585,0.9874131260613063
Size,orientation,None,0.8,1.0,0.8682539682539683,0.8333333333333333,0.9134424603174603,0.5793174087816945,0.8093931182592522,0.859893888779721
Size,orientation,None,0.8,1.0,0.6611111111111111,0.7375,0.878125,0.6158680555555556,0.811016793972491,0.7979882648784576
Size,orientation,None,0.4,1.0,0.7534662867996201,0.7361111111111112,1.160639880952381,0.885717828798186,0.8152603317497797,0.5459111707434549
Size,adjacency,None,0.6,0.5,0.9888888888888889,0.8,0.8513888888888889,0.5162037037037037,0.7818198285231253,0.6304604486422668
Size,adjacency,None,0.8,1.0,0.8821428571428571,0.7708333333333333,1.0037698412698413,0.7769444444444444,0.7842165689805334,0.8632590650939275
Size,adjacency,None,0.8,0.75,0.8453074032784178,0.78125,1.0220238095238097,0.7245606575963719,0.8365765610651974,0.797394923411365
Size,adjacency,None,0.4,0.75,0.6817708333333333,0.7583333333333333,1.0170138888888889,0.8018055555555555,0.8245136918400313,0.5128138160686886
Size,adjacency,None,0.6,0.5,0.8532608695652174,0.5916666666666667,0.7848834325396825,0.6070144203514739,0.7578797224670102,0.6148825065274152
Size,adjacency,orientation,0.6,1.0,0.6062937062937063,0.7916666666666666,0.9166666666666667,0.5853819444444445,0.8413996567405657,0.6685945633314054
Size,adjacency,orientation,0.6,1.0,0.7252525252525253,0.6458333333333333,1.1166666666666667,0.7223611111111112,0.7383340933557383,0.700260078023407
Size,adjacency,orientation,0.6,1.0,0.8585858585858586,0.7166666666666666,0.8386805555555557,0.5808854166666666,0.7588687845904851,0.7275320970042796
Size,adjacency,orientation,0.6,1.0,0.7694444444444445,0.7666666666666666,0.8845833333333333,0.7714136904761905,0.873078231292517,0.7101046784875026
Size,adjacency,orientation,0.6,1.0,0.7178571428571429,0.7083333333333333,0.8307720057720058,0.5926378815989206,0.7766658936301793,0.6985230234578627
Size,None,None,0.0,0.5,0.7548484848484849,0.7041666666666666,0.7786931818181818,0.572441029614325,0.7369014432551069,1.9999999966752308e-09
Size,None,None,0.4,0.5,0.6740620490620491,0.7083333333333333,0.8834374999999999,0.6920622519841269,0.7949710796072003,0.47150111976784537
Size,None,None,0.4,0.5,0.7121863799283155,0.7749999999999999,0.9965773809523809,0.5814599277210883,0.7680193534875165,0.47595664411042576
Size,None,None,0.4,0.0,0.8222222222222223,0.8065476190476191,0.90625,0.6003472222222221,0.831883216739752,3.9999999751351355e-09
Size,None,None,0.2,0.5,0.869927536231884,0.725,0.8115530303030303,0.41455061983471075,0.7024851190476191,0.3041935892563031
Size,orientation,None,0.4,1.0,0.7833333333333333,0.8625,0.9255208333333333,0.6209759424603174,0.8674454365079365,0.5497076023391814
Size,orientation,None,0.2,1.0,0.7583333333333333,0.7375,0.8798611111111111,0.5902430555555556,0.8188497574955909,0.3247100802854594
Size,orientation,None,0.4,1.0,0.8350069013112491,0.6666666666666666,0.7879960317460317,0.6113236961451247,0.7609506630935202,0.5557411968697429
Size,orientation,None,0.4,1.0,0.8737373737373737,0.6333333333333333,0.8433159722222223,0.6378038194444444,0.7923250595003841,0.5598705501618123
Size,orientation,None,0.4,1.0,0.9095238095238094,0.7291666666666666,0.8482638888888889,0.5846875,0.8069135802469136,0.5634218289085545
Size,orientation,None,0.6,1.0,0.8416666666666667,0.6958333333333333,0.8177182539682539,0.5531944444444444,0.751750259104025,0.7244471010161387
Size,orientation,None,0.4,1.0,0.7777777777777778,0.75,0.9111545138888889,0.7108420138888889,0.8652744118480726,0.5490196078431373
Size,orientation,None,0.2,1.0,0.7482987772461457,0.75,0.8682589285714286,0.6749624433106576,0.8467858724068139,0.32424463186871727
Size,orientation,None,0.4,1.0,0.8095238095238094,0.75,0.882638888888889,0.6342534722222222,0.8387358486293925,0.5528455284552846
Size,orientation,None,0.4,1.0,0.8527777777777779,0.7291666666666666,0.8959027777777777,0.7136979166666666,0.8616058344336317,0.5576748410535877
